Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4964588805,rxbandit,0,263.03998,DST Browns  FLEX Trey McBride QB Jameis Winston RB Jahmyr Gibbs RB Emanuel Wilson TE Mike Gesicki WR Jaxon Smith-Njigba WR Wan'Dale Robinson WR Michael Wilson,,Jahmyr Gibbs,RB,44.78%,58.4
2,4965923024,Piscivore,0,253.36,DST Browns  FLEX Jahmyr Gibbs QB Sam Darnold RB Chase Brown RB Emanuel Wilson TE Hunter Henry WR Jaxon Smith-Njigba WR Michael Wilson WR Chimere Dike,,Trey McBride,FLEX,44.46%,16.9
3,4964366215,markandrewbray,0,250.24,DST Browns  FLEX Wan'Dale Robinson QB Jameis Winston RB Jahmyr Gibbs RB Derrick Henry TE Hunter Henry WR Chris Olave WR DeVonta Smith WR Michael Wilson,,Michael Wilson,WR,42.03%,24.8
3,4964783732,ripsewell,0,250.24,DST Titans  FLEX Derrick Henry QB Jameis Winston RB Jahmyr Gibbs RB Emanuel Wilson TE Hunter Henry WR Amon-Ra St. Brown WR Wan'Dale Robinson WR Darius Slayton,,Browns ,DST,33.87%,16
5,4964396258,gobravez,0,249.37999,DST Steelers  FLEX Hunter Henry QB Jacoby Brissett RB Jahmyr Gibbs RB Emanuel Wilson TE Trey McBride WR George Pickens WR A.J. Brown WR Michael Wilson,,Emanuel Wilson,RB,32.90%,29.5
6,4964294988,Stosh82,0,248.73999,DST Browns  FLEX Michael Wilson QB Jameis Winston RB Jahmyr Gibbs RB Emanuel Wilson TE Mike Gesicki WR Jaxon Smith-Njigba WR Amon-Ra St. Brown WR Darius Slayton,,Amon-Ra St. Brown,WR,27.34%,32.9
7,4965575749,MoneyCarsWomen,0,248.33998,DST Browns  FLEX Chase Brown QB Jameis Winston RB Jahmyr Gibbs RB Emanuel Wilson TE Trey McBride WR DeVonta Smith WR Wan'Dale Robinson WR Michael Wilson,,Jameson Williams,WR,26.64%,0
8,4965576053,wacker14,0,245.04002,DST Saints  FLEX Alec Pierce QB Jameis Winston RB Jahmyr Gibbs RB Derrick Henry TE Hunter Henry WR Rashee Rice WR Wan'Dale Robinson WR Michael Wilson,,Jacoby Brissett,QB,24.91%,21.68
9,4964247987,colemoreland3,0,244.98001,DST Saints  FLEX Michael Wilson QB Jacoby Brissett RB Jahmyr Gibbs RB Quinshon Judkins TE Hunter Henry WR Jaxon Smith-Njigba WR George Pickens WR Isaiah Hodgins,,DeVonta Smith,FLEX,23.78%,14.9
10,4964972994,meelsonwheels20,0,243.27998,DST Falcons  FLEX Jaxon Smith-Njigba QB Jacoby Brissett RB Jahmyr Gibbs RB Kareem Hunt TE Hunter Henry WR DK Metcalf WR Michael Wilson WR Darnell Mooney,,Saints ,DST,21.98%,11
11,4963483119,schneiderman8,0,242.68001,DST Browns  FLEX Trey McBride QB Jacoby Brissett RB Jahmyr Gibbs RB Emanuel Wilson TE Hunter Henry WR Amon-Ra St. Brown WR Michael Wilson WR Jakobi Meyers,,Chase Brown,RB,21.24%,18
11,4964653300,Bmack2134,0,242.68001,DST Browns  FLEX Trey McBride QB Jacoby Brissett RB Jahmyr Gibbs RB Emanuel Wilson TE Hunter Henry WR Amon-Ra St. Brown WR Michael Wilson WR Jakobi Meyers,,Travis Kelce,TE,20.50%,8.4
11,4965211975,john_hugo,0,242.68001,DST Browns  FLEX Hunter Henry QB Jacoby Brissett RB Jahmyr Gibbs RB Emanuel Wilson TE Trey McBride WR Amon-Ra St. Brown WR Michael Wilson WR Jakobi Meyers,,Derrick Henry,RB,17.71%,22.8
11,4965300545,jessicahill,0,242.68001,DST Browns  FLEX Hunter Henry QB Jacoby Brissett RB Jahmyr Gibbs RB Emanuel Wilson TE Trey McBride WR Amon-Ra St. Brown WR Michael Wilson WR Jakobi Meyers,,TreVeyon Henderson,RB,17.28%,11.1
15,4964056069,kymcd14,0,241.86,DST Saints  FLEX Trey McBride QB Jalen Hurts RB Jahmyr Gibbs RB Emanuel Wilson TE Hunter Henry WR A.J. Brown WR DeVonta Smith WR Michael Wilson,,Jakobi Meyers,WR,15.93%,15
16,4965209867,DRUBY1,0,241.66,DST Browns  FLEX Emanuel Wilson QB Jalen Hurts RB Jahmyr Gibbs RB Kareem Hunt TE Hunter Henry WR Amon-Ra St. Brown WR Stefon Diggs WR John Metchie III,,A.J. Brown,FLEX,15.17%,28
17,4965745598,MistaQ7980,0,241.57999,DST Browns  FLEX Trey McBride QB Jacoby Brissett RB Jahmyr Gibbs RB Kareem Hunt TE Hunter Henry WR Jaxon Smith-Njigba WR Michael Wilson WR Isaiah Hodgins,,Hunter Henry,TE,14.47%,27.5
18,4959593446,Wingman_Inc,0,241.06,DST Browns  FLEX DeVonta Smith QB Jalen Hurts RB Jahmyr Gibbs RB Emanuel Wilson TE Hunter Henry WR George Pickens WR A.J. Brown WR Darius Slayton,,Jared Goff,QB,13.37%,18.16
19,4965123108,dumbass,0,240.48,DST Falcons  FLEX Rashee Rice QB Jacoby Brissett RB Jahmyr Gibbs RB Travis Etienne Jr. TE Hunter Henry WR A.J. Brown WR Michael Wilson WR Darnell Mooney,,David Montgomery,RB,13.07%,6.7
20,4964339918,Gman0150,0,240.43999,DST Saints  FLEX Trey McBride QB Jameis Winston RB Jahmyr Gibbs RB Travis Etienne Jr. TE Hunter Henry WR Amon-Ra St. Brown WR Wan'Dale Robinson WR Darius Slayton,,Rashee Rice,WR,12.87%,27.1
21,4965839157,ctkelly,0,240.24002,DST Titans  FLEX Tee Higgins QB Jameis Winston RB Jahmyr Gibbs RB Emanuel Wilson TE Theo Johnson WR Amon-Ra St. Brown WR Wan'Dale Robinson WR Michael Wilson,,Saquon Barkley,FLEX,12.42%,13.4
22,4963118500,vince4321lem,0,240.14,DST Browns  FLEX Chase Brown QB Jameis Winston RB Jahmyr Gibbs RB Derrick Henry TE Theo Johnson WR A.J. Brown WR Wan'Dale Robinson WR Darnell Mooney,,Bijan Robinson,RB,12.06%,14.7
23,4965399749,mason_mac,0,239.54,DST Browns  FLEX Jahmyr Gibbs QB Jameis Winston RB Chase Brown RB Alvin Kamara TE Hunter Henry WR Jaxon Smith-Njigba WR Michael Wilson WR Jakobi Meyers,,Jalen Hurts,QB,11.50%,30.86
24,4964372319,cmuir89,0,238.26001,DST Browns  FLEX Travis Etienne Jr. QB Caleb Williams RB Jahmyr Gibbs RB Emanuel Wilson TE Hunter Henry WR Jaxon Smith-Njigba WR DK Metcalf WR Luther Burden III,,CeeDee Lamb,WR,10.04%,11.5
25,4963081369,abruno6408,0,237.74,DST Browns  FLEX Emanuel Wilson QB Jameis Winston RB Jahmyr Gibbs RB Derrick Henry TE Mark Andrews WR Amon-Ra St. Brown WR Michael Wilson WR Jakobi Meyers,,Chris Olave,WR,9.68%,16
26,4964632745,jandreozzi,0,237.44002,DST Browns  FLEX Juwan Johnson QB Jameis Winston RB Jahmyr Gibbs RB Emanuel Wilson TE Trey McBride WR Amon-Ra St. Brown WR Wan'Dale Robinson WR Darius Slayton,,Mark Andrews,FLEX,9.34%,2.1
27,4964903905,qbanflash,0,237.15999,DST Jets  FLEX DeVonta Smith QB Jalen Hurts RB Jahmyr Gibbs RB Emanuel Wilson TE Hunter Henry WR George Pickens WR A.J. Brown WR DK Metcalf,,George Pickens,FLEX,9.11%,32.6
28,4962303840,Professional,0,235.86,DST Saints  FLEX Michael Wilson QB Jared Goff RB Jahmyr Gibbs RB Emanuel Wilson TE Hunter Henry WR Amon-Ra St. Brown WR Jameson Williams WR Wan'Dale Robinson,,DK Metcalf,WR,8.91%,14.4
29,4964320040,douvy,0,235.34,DST Saints  FLEX Trey McBride QB Jameis Winston RB Jahmyr Gibbs RB Emanuel Wilson TE Theo Johnson WR Amon-Ra St. Brown WR DeVonta Smith WR Michael Wilson,,Raiders ,DST,8.84%,5
30,4964143539,GatorMAB,0,235.26,DST Saints  FLEX Emanuel Wilson QB Jared Goff RB Jahmyr Gibbs RB Chase Brown TE Hunter Henry WR Amon-Ra St. Brown WR Michael Wilson WR Jakobi Meyers,,Adonai Mitchell,WR,8.78%,6.2
31,4962691108,seahawksfan69,0,235.15999,DST Browns  FLEX Jahmyr Gibbs QB Jared Goff RB Chase Brown RB Emanuel Wilson TE Hunter Henry WR Amon-Ra St. Brown WR Michael Wilson WR Christian Watson,,Tee Higgins,WR,8.75%,8.1
32,4959284907,hixy31,0,234.76,DST Saints  FLEX George Pickens QB Jalen Hurts RB Jahmyr Gibbs RB David Montgomery TE Hunter Henry WR A.J. Brown WR DeVonta Smith WR Michael Wilson,,Jaxon Smith-Njigba,WR,8.73%,40.1
33,4965112776,JuicyJuiceMan,0,234.65999,DST Saints  FLEX Trey McBride QB Jalen Hurts RB Jahmyr Gibbs RB Emanuel Wilson TE Hunter Henry WR Rashee Rice WR DeVonta Smith WR John Metchie III,,Patrick Mahomes,QB,8.42%,21.08
34,4959907000,Orochi,0,233.87999,DST Browns  FLEX Jahmyr Gibbs QB Jacoby Brissett RB Chase Brown RB Emanuel Wilson TE Trey McBride WR Wan'Dale Robinson WR Michael Wilson WR Jakobi Meyers,,Luther Burden III,WR,8.37%,9.1
34,4964942342,sanduska,0,233.87999,DST Browns  FLEX Emanuel Wilson QB Jacoby Brissett RB Jahmyr Gibbs RB Chase Brown TE Trey McBride WR Wan'Dale Robinson WR Michael Wilson WR Jakobi Meyers,,Andrei Iosivas,WR,8.30%,10.6
