Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
34,4965570961,skankinmat,0,233.87999,DST Browns  FLEX Emanuel Wilson QB Jacoby Brissett RB Jahmyr Gibbs RB Chase Brown TE Trey McBride WR Wan'Dale Robinson WR Michael Wilson WR Jakobi Meyers,,Rome Odunze,WR,8.12%,8.3
37,4964402819,fpteach,0,233.48,DST Falcons  FLEX Trey McBride QB Jacoby Brissett RB Jahmyr Gibbs RB Travis Etienne Jr. TE Hunter Henry WR George Pickens WR Michael Wilson WR Jakobi Meyers,,Drake Maye,QB,7.94%,16.96
38,4965324417,wonka8,0,232.62001,DST Saints  FLEX Kareem Hunt QB Joe Flacco RB Bijan Robinson RB Jahmyr Gibbs TE Hunter Henry WR A.J. Brown WR Wan'Dale Robinson WR Michael Wilson,,Wan'Dale Robinson,WR,7.65%,33.6
39,4964552755,Cluckerman,0,232.26,DST Browns  FLEX Trey McBride QB Jared Goff RB Jahmyr Gibbs RB Kareem Hunt TE Mike Gesicki WR Amon-Ra St. Brown WR Wan'Dale Robinson WR Michael Wilson,,Travis Etienne Jr.,FLEX,7.65%,20.6
40,4965886049,robcole23,0,231.96,DST Colts  FLEX DeVonta Smith QB Jalen Hurts RB Jahmyr Gibbs RB Emanuel Wilson TE Trey McBride WR Wan'Dale Robinson WR Michael Wilson WR Jakobi Meyers,,Kenneth Walker III,FLEX,7.61%,13.1
41,4965588289,MoneyMayberry,0,231.37999,DST Saints  FLEX Travis Etienne Jr. QB Jacoby Brissett RB Jahmyr Gibbs RB Emanuel Wilson TE Trey McBride WR DeVonta Smith WR Wan'Dale Robinson WR Michael Wilson,,Seahawks ,DST,7.49%,4
42,4964752879,StlGreatz,0,231.23999,DST Browns  FLEX Brenton Strange QB Trevor Lawrence RB Jahmyr Gibbs RB Emanuel Wilson TE Trey McBride WR George Pickens WR A.J. Brown WR DK Metcalf,,Darius Slayton,FLEX,7.49%,3.3
43,4962820873,jrocker22,0,230.98001,DST Browns  FLEX Trey McBride QB Jacoby Brissett RB Jahmyr Gibbs RB Emanuel Wilson TE Hunter Henry WR Amon-Ra St. Brown WR Michael Wilson WR Darius Slayton,,Stefon Diggs,WR,7.09%,4
44,4965594090,iceplanetbarbarian,0,230.85999,DST Browns  FLEX George Pickens QB Jalen Hurts RB Jahmyr Gibbs RB Emanuel Wilson TE Travis Kelce WR A.J. Brown WR DeVonta Smith WR Isaiah Hodgins,,Mike Gesicki,FLEX,7.00%,7.5
45,4965486742,TangoBlackmamba,0,230.54001,DST Ravens  FLEX Amon-Ra St. Brown QB Jameis Winston RB Jahmyr Gibbs RB Derrick Henry TE Mike Gesicki WR Wan'Dale Robinson WR Michael Wilson WR Darius Slayton,,Darnell Mooney,WR,5.99%,16.4
46,4965991919,lovejjstl,0,230.36,DST Saints  FLEX Chase Brown QB Dak Prescott RB Jahmyr Gibbs RB TreVeyon Henderson TE Hunter Henry WR DeVonta Smith WR Wan'Dale Robinson WR Michael Wilson,,Zay Flowers,WR,5.94%,11.9
47,4963758937,TooEasy27,0,230.24,DST Lions  FLEX Jahmyr Gibbs QB Trevor Lawrence RB Chase Brown RB Emanuel Wilson TE Hunter Henry WR Amon-Ra St. Brown WR Michael Wilson WR Jakobi Meyers,,Lamar Jackson,QB,5.85%,7.22
48,4964576009,wtread5,0,230.06,DST Browns  FLEX Travis Kelce QB Jalen Hurts RB Jahmyr Gibbs RB Alvin Kamara TE Hunter Henry WR George Pickens WR A.J. Brown WR Michael Wilson,,Alec Pierce,WR,5.56%,3.6
49,4965429201,Strucken2012,0,229.66002,DST Browns  FLEX Parker Washington QB Jalen Hurts RB Jahmyr Gibbs RB Kenneth Walker III TE Hunter Henry WR Rashee Rice WR A.J. Brown WR Andrei Iosivas,,Kyle Pitts Sr.,FLEX,5.42%,4.5
50,4964698722,JadedOne1,0,229.04,DST Saints  FLEX Quinshon Judkins QB Jameis Winston RB Jahmyr Gibbs RB Emanuel Wilson TE Theo Johnson WR Amon-Ra St. Brown WR Jameson Williams WR Wan'Dale Robinson,,Jameis Winston,QB,5.09%,36.24
51,4962884025,LordMattyIce,0,228.56,DST Browns  FLEX Chase Brown QB Jared Goff RB Jahmyr Gibbs RB Emanuel Wilson TE Hunter Henry WR Amon-Ra St. Brown WR Michael Wilson WR Darius Slayton,,Dallas Goedert,TE,4.97%,4
51,4964357907,BGMgurus,0,228.56,DST Saints  FLEX Jerry Jeudy QB Jalen Hurts RB Jahmyr Gibbs RB Emanuel Wilson TE Tyler Warren WR George Pickens WR A.J. Brown WR Michael Wilson,,Quinshon Judkins,RB,4.93%,16.7
53,4965522138,HeadSchatz,0,228.45999,DST Steelers  FLEX A.J. Brown QB Jalen Hurts RB Jahmyr Gibbs RB Emanuel Wilson TE Mike Gesicki WR Amon-Ra St. Brown WR DeVonta Smith WR Darnell Mooney,,Romeo Doubs,WR,4.93%,4.3
54,4960831850,Papy324,0,228.26,DST Browns  FLEX Michael Wilson QB Jared Goff RB Jahmyr Gibbs RB Emanuel Wilson TE Colston Loveland WR Amon-Ra St. Brown WR Jameson Williams WR Wan'Dale Robinson,,Bhayshul Tuten,RB,4.61%,1.7
55,4963192080,Sadie6395,0,227.94002,DST Saints  FLEX Michael Wilson QB Jameis Winston RB Jahmyr Gibbs RB Chase Brown TE Theo Johnson WR Amon-Ra St. Brown WR George Pickens WR Darius Slayton,,Lions ,DST,4.59%,3
56,4958354463,crsimons,0,227.88,DST Jets  FLEX Jaxon Smith-Njigba QB Jacoby Brissett RB Jahmyr Gibbs RB Emanuel Wilson TE Hunter Henry WR Tee Higgins WR Michael Wilson WR Greg Dortch,,Alvin Kamara,RB,4.32%,3.5
57,4962844119,aclegend89,0,227.58002,DST Browns  FLEX Juwan Johnson QB Jacoby Brissett RB Jahmyr Gibbs RB Emanuel Wilson TE Trey McBride WR Amon-Ra St. Brown WR Michael Wilson WR Greg Dortch,,Jerry Jeudy,WR,4.16%,3.9
58,4962702086,maciekbears17,0,227.43999,DST Seahawks  FLEX Trey McBride QB Jameis Winston RB Jahmyr Gibbs RB Kenneth Walker III TE Mike Gesicki WR Amon-Ra St. Brown WR Wan'Dale Robinson WR Michael Wilson,,Christian Watson,FLEX,4.12%,9.9
59,4964578101,itslegend380,0,227.36,DST Browns  FLEX DeVonta Smith QB Jalen Hurts RB Jahmyr Gibbs RB Emanuel Wilson TE Mark Andrews WR George Pickens WR A.J. Brown WR Jakobi Meyers,,Caleb Williams,QB,4.05%,22.66
60,4964521571,cutthroatkp,0,227.16002,DST Browns  FLEX Chase Brown QB Drake Maye RB Jahmyr Gibbs RB Derrick Henry TE Hunter Henry WR Wan'Dale Robinson WR Michael Wilson WR Luther Burden III,,D'Andre Swift,RB,3.47%,2.9
61,4966025480,biglou33,0,227.08002,DST Saints  FLEX Michael Wilson QB Jacoby Brissett RB Jahmyr Gibbs RB Kenneth Walker III TE Hunter Henry WR Amon-Ra St. Brown WR Rashee Rice WR Andrei Iosivas,,Tyler Shough,QB,3.44%,9.92
62,4965368977,mware2,0,226.98,DST Browns  FLEX Quinshon Judkins QB Jacoby Brissett RB Jahmyr Gibbs RB Emanuel Wilson TE Trey McBride WR A.J. Brown WR Michael Wilson WR Jakobi Meyers,,Kareem Hunt,RB,3.35%,24
63,4959474552,Winiewski11,0,226.68,DST Browns  FLEX Emanuel Wilson QB Jacoby Brissett RB Jahmyr Gibbs RB Travis Etienne Jr. TE Colston Loveland WR Rashee Rice WR Michael Pittman Jr. WR Michael Wilson,,Brock Bowers,TE,3.26%,11.5
64,4965441903,twokraz,0,226.54002,DST Browns  FLEX Jahmyr Gibbs QB Jameis Winston RB Saquon Barkley RB Emanuel Wilson TE Mike Gesicki WR Tee Higgins WR George Pickens WR Michael Wilson,,Colston Loveland,TE,3.04%,14.9
64,4962954796,JRC823,0,226.54,DST Browns  FLEX Michael Wilson QB Jameis Winston RB Chase Brown RB Emanuel Wilson TE Travis Kelce WR Amon-Ra St. Brown WR Rashee Rice WR Wan'Dale Robinson,,Ashton Jeanty,RB,2.93%,24.8
66,4965046030,dblply4,0,226.36,DST Vikings  FLEX Jakobi Meyers QB Jared Goff RB Jahmyr Gibbs RB Travis Etienne Jr. TE Hunter Henry WR Amon-Ra St. Brown WR A.J. Brown WR Michael Wilson,,Jonathan Taylor,RB,2.86%,8.6
67,4966037538,Qbtheking23,0,225.96,DST Packers  FLEX Zach Charbonnet QB Jalen Hurts RB Jahmyr Gibbs RB Travis Etienne Jr. TE Hunter Henry WR Rome Odunze WR A.J. Brown WR Michael Wilson,,Breece Hall,RB,2.84%,14.9
67,4965855625,RottiesJR,0,225.95999,DST Saints  FLEX Trey McBride QB Jalen Hurts RB Jahmyr Gibbs RB Kareem Hunt TE Hunter Henry WR A.J. Brown WR DeVonta Smith WR DK Metcalf,,Greg Dortch,WR,2.77%,16.8
69,4964297251,SaintsClair,0,225.84001,DST Raiders  FLEX Ashton Jeanty QB Jameis Winston RB Jahmyr Gibbs RB Emanuel Wilson TE Trey McBride WR Wan'Dale Robinson WR Parker Washington WR Darius Slayton,,Aaron Jones Sr.,RB,2.45%,8.7
70,4965774896,alexteay,0,225.77998,DST Browns  FLEX Isaiah Likely QB Jacoby Brissett RB Jahmyr Gibbs RB Emanuel Wilson TE Trey McBride WR Jaxon Smith-Njigba WR Michael Wilson WR Darnell Mooney,,Tyrod Taylor,QB,2.43%,13.78
71,4964089040,bsteinhause,0,225.76001,DST Browns  FLEX CeeDee Lamb QB Jalen Hurts RB Jahmyr Gibbs RB Emanuel Wilson TE Hunter Henry WR A.J. Brown WR DeVonta Smith WR Luther Burden III,,Juwan Johnson,TE,2.41%,10.6
72,4964126589,legend58,0,225.43999,DST Browns  FLEX Rhamondre Stevenson QB Jameis Winston RB Jahmyr Gibbs RB Kenneth Walker III TE Travis Kelce WR Amon-Ra St. Brown WR Wan'Dale Robinson WR Michael Wilson,,Tyler Warren,TE,2.39%,9.5
73,4963030187,vassa,0,225.22,DST Saints  FLEX Jahmyr Gibbs QB Lamar Jackson RB Chase Brown RB Emanuel Wilson TE Hunter Henry WR Rashee Rice WR A.J. Brown WR John Metchie III,,Steelers ,DST,2.39%,10
74,4965407993,deadfan1125,0,225.08,DST Saints  FLEX Trey McBride QB Jacoby Brissett RB Jahmyr Gibbs RB Emanuel Wilson TE Mark Andrews WR Rashee Rice WR Wan'Dale Robinson WR Michael Wilson,,Zach Charbonnet,RB,2.39%,9.5
75,4963573437,Mecooksey7,0,224.96,DST Vikings  FLEX Jahmyr Gibbs QB Jalen Hurts RB Aaron Jones Sr. RB Kenneth Walker III TE Hunter Henry WR George Pickens WR A.J. Brown WR Michael Wilson,,John Metchie III,WR,2.36%,18.5
75,4962780373,chodgens9,0,224.95999,DST Steelers  FLEX Michael Wilson QB Jared Goff RB Jahmyr Gibbs RB Saquon Barkley TE Hunter Henry WR Amon-Ra St. Brown WR Wan'Dale Robinson WR Adonai Mitchell,,Vikings ,DST,2.34%,1
77,4964671873,michaeledgley3,0,224.75998,DST Saints  FLEX Hunter Henry QB Jalen Hurts RB Jahmyr Gibbs RB Derrick Henry TE Travis Kelce WR A.J. Brown WR DK Metcalf WR DJ Moore,,Parker Washington,FLEX,2.30%,18.1
78,4963867224,bh56366,0,224.73999,DST Browns  FLEX Kyle Pitts Sr. QB Jameis Winston RB Jahmyr Gibbs RB Saquon Barkley TE Theo Johnson WR Rashee Rice WR Wan'Dale Robinson WR Michael Wilson,,Sam Darnold,QB,2.27%,17.66
78,4965073860,Elysium13,0,224.73999,DST Titans  FLEX Derrick Henry QB Jameis Winston RB Jahmyr Gibbs RB Emanuel Wilson TE Theo Johnson WR Amon-Ra St. Brown WR Chris Olave WR Isaiah Hodgins,,Kayshon Boutte,WR,2.23%,3.5
80,4958416566,onesoloe21,0,224.68,DST Saints  FLEX Jahmyr Gibbs QB Jacoby Brissett RB Chase Brown RB Emanuel Wilson TE Trey McBride WR A.J. Brown WR Michael Wilson WR Darnell Mooney,,Xavier Worthy,FLEX,2.18%,9.9
81,4963669678,Justini23,0,224.46,DST Browns  FLEX Mark Andrews QB Drake Maye RB Jahmyr Gibbs RB Chase Brown TE Hunter Henry WR Rashee Rice WR Wan'Dale Robinson WR Michael Wilson,,Packers ,DST,2.18%,18
82,4964137024,bgreseth,0,224.27998,DST Saints  FLEX Trey McBride QB Jacoby Brissett RB Jahmyr Gibbs RB Emanuel Wilson TE Mike Gesicki WR Jaxon Smith-Njigba WR DK Metcalf WR Michael Wilson,,Theo Johnson,TE,2.16%,10.7
83,4965391936,BTOneil,0,224.24,DST Browns  FLEX Travis Etienne Jr. QB Trevor Lawrence RB Jahmyr Gibbs RB Breece Hall TE Hunter Henry WR Jaxon Smith-Njigba WR Jakobi Meyers WR Andrei Iosivas,,Javonte Williams,RB,2.14%,12.1
84,4963272689,sp3685,0,224.15999,DST Saints  FLEX Alvin Kamara QB Jalen Hurts RB Jahmyr Gibbs RB Travis Etienne Jr. TE Hunter Henry WR George Pickens WR DeVonta Smith WR Michael Wilson,,AJ Barner,TE,2.12%,3.8
85,4965636889,AuburnRP,0,223.48,DST Browns  FLEX Mark Andrews QB Jacoby Brissett RB Jahmyr Gibbs RB Chase Brown TE Hunter Henry WR Jaxon Smith-Njigba WR DeVonta Smith WR Michael Wilson,,Dak Prescott,QB,2.09%,31.06
85,4965837836,sillyhoar,0,223.48,DST Browns  FLEX Mark Andrews QB Jacoby Brissett RB Jahmyr Gibbs RB Chase Brown TE Hunter Henry WR Jaxon Smith-Njigba WR DeVonta Smith WR Michael Wilson,,Isaiah Likely,FLEX,2.07%,2
87,4965693470,mmartel01,0,223.44002,DST Browns  FLEX Saquon Barkley QB Jameis Winston RB Jahmyr Gibbs RB Kenneth Walker III TE Theo Johnson WR Amon-Ra St. Brown WR Wan'Dale Robinson WR Luther Burden III,,Noah Fant,TE,2.05%,1.9
88,4961864985,mohawk86,0,223.28,DST Saints  FLEX Jahmyr Gibbs QB Jacoby Brissett RB Chase Brown RB Emanuel Wilson TE Trey McBride WR A.J. Brown WR Michael Wilson WR Jakobi Meyers,,Ravens ,DST,2.03%,11
88,4964936366,Yanksch,0,223.27998,DST Browns  FLEX Darnell Mooney QB Jacoby Brissett RB Jahmyr Gibbs RB Travis Etienne Jr. TE Trey McBride WR DeVonta Smith WR Wan'Dale Robinson WR Michael Wilson,,Titans ,DST,2.03%,6
90,4963961252,TurdNlong13,0,222.86,DST Saints  FLEX Trey McBride QB Jalen Hurts RB Jahmyr Gibbs RB Emanuel Wilson TE Travis Kelce WR A.J. Brown WR Michael Wilson WR Jakobi Meyers,,Isaiah Hodgins,WR,1.98%,12.2
91,4959265559,July40521,0,222.68,DST Browns  FLEX Colston Loveland QB Patrick Mahomes RB Jahmyr Gibbs RB Kareem Hunt TE Travis Kelce WR Rashee Rice WR A.J. Brown WR Michael Wilson,,Jets ,DST,1.98%,1
92,4964781313,Todd_Opong,0,222.26,DST Saints  FLEX A.J. Brown QB Jared Goff RB Jahmyr Gibbs RB Emanuel Wilson TE Hunter Henry WR Amon-Ra St. Brown WR Jameson Williams WR Greg Dortch,,Cedric Tillman,FLEX,1.89%,1.5
93,4964408731,gabrielsportscap,0,222.16002,DST Saints  FLEX Emanuel Wilson QB Jalen Hurts RB Jahmyr Gibbs RB Chase Brown TE Mark Andrews WR George Pickens WR DeVonta Smith WR Michael Wilson,,Rashid Shaheed,WR,1.87%,0.5
93,4964702082,bloodnguts,0,222.16002,DST Saints  FLEX Emanuel Wilson QB Jalen Hurts RB Jahmyr Gibbs RB Chase Brown TE Mark Andrews WR George Pickens WR DeVonta Smith WR Michael Wilson,,Justin Jefferson,WR,1.80%,8.8
95,4957532100,metzykid23,0,221.98,DST Saints  FLEX TreVeyon Henderson QB Jacoby Brissett RB Jahmyr Gibbs RB Emanuel Wilson TE Trey McBride WR Wan'Dale Robinson WR Michael Wilson WR Jakobi Meyers,,Trevor Lawrence,QB,1.78%,21.14
96,4964748112,gtang001,0,221.88,DST Browns  FLEX Emanuel Wilson QB Jacoby Brissett RB Jahmyr Gibbs RB Derrick Henry TE Trey McBride WR Michael Wilson WR Jakobi Meyers WR Greg Dortch,,Shedeur Sanders,QB,1.76%,11.26
97,4962344021,Smokin_Greens,0,221.73999,DST Lions  FLEX Chris Olave QB Jameis Winston RB Jahmyr Gibbs RB Emanuel Wilson TE Trey McBride WR Wan'Dale Robinson WR Michael Wilson WR Darius Slayton,,Colts ,DST,1.60%,8
98,4964849727,j3lly,0,221.58,DST Browns  FLEX Trey McBride QB Jacoby Brissett RB Jahmyr Gibbs RB Kareem Hunt TE Travis Kelce WR Amon-Ra St. Brown WR Michael Wilson WR John Metchie III,,Mason Taylor,TE,1.55%,5.1
99,4963922302,Master_PaiMei,0,221.48,DST Browns  FLEX Trey McBride QB Jacoby Brissett RB Jahmyr Gibbs RB Jaylen Warren TE Colston Loveland WR George Pickens WR DJ Moore WR Michael Wilson,,Jaylen Warren,RB,1.53%,12.8
100,4964807662,finessekingz,0,221.38,DST Browns  FLEX Darnell Mooney QB Jacoby Brissett RB Jahmyr Gibbs RB Emanuel Wilson TE Trey McBride WR Rashee Rice WR Michael Wilson WR Andrei Iosivas,,Michael Pittman Jr.,WR,1.51%,13.7
101,4965742193,Kccanning,0,221.36,DST Browns  FLEX Saquon Barkley QB Jared Goff RB Jahmyr Gibbs RB Emanuel Wilson TE Hunter Henry WR Jameson Williams WR Wan'Dale Robinson WR Michael Wilson,,Brock Wright,TE,1.49%,5.9
102,4964663372,cloucas123,0,221.26,DST Raiders  FLEX Emanuel Wilson QB Jalen Hurts RB Jahmyr Gibbs RB Derrick Henry TE Mike Gesicki WR A.J. Brown WR DK Metcalf WR Michael Wilson,,Bears ,DST,1.37%,6
103,4960121475,1camcos,0,221.18,DST Saints  FLEX Trey McBride QB Jacoby Brissett RB Jahmyr Gibbs RB Emanuel Wilson TE AJ Barner WR Jaxon Smith-Njigba WR Michael Wilson WR Jakobi Meyers,,Mason Rudolph,QB,1.33%,9.54
104,4964004276,brianhughes99,0,221.06001,DST Browns  FLEX Luther Burden III QB Jalen Hurts RB Jahmyr Gibbs RB Breece Hall TE Hunter Henry WR CeeDee Lamb WR A.J. Brown WR Michael Wilson,,Joe Flacco,QB,1.33%,10.62
