Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
554,5007490936,prescio0912,0,146.42,DST Texans  FLEX Jahmyr Gibbs QB Tyler Shough RB Bijan Robinson RB Kenneth Gainwell TE Juwan Johnson WR DK Metcalf WR Jalen Coker WR Xavier Worthy,,,
557,5004271753,Ram33 (4/5),0,146.31998,DST Bills  FLEX Jakobi Meyers QB Cam Ward RB De'Von Achane RB Bijan Robinson TE Gunnar Helm WR Chris Olave WR DK Metcalf WR Chimere Dike,,,
558,5006736615,MRKC (2/5),0,146.3,DST Vikings  FLEX DK Metcalf QB Justin Herbert RB Jahmyr Gibbs RB James Cook III TE Evan Engram WR Ladd McConkey WR Justin Jefferson WR Adonai Mitchell,,,
559,5006469734,LynnfieldDave (5/5),0,146.26001,DST Vikings  FLEX Juwan Johnson QB Jared Goff RB James Cook III RB Aaron Jones Sr. TE Harold Fannin Jr. WR Amon-Ra St. Brown WR Jameson Williams WR Adonai Mitchell,,,
560,5007019459,rex21023 (4/5),0,146.22,DST Texans  FLEX Juwan Johnson QB Tyler Shough RB Jahmyr Gibbs RB Michael Carter TE Travis Kelce WR Chris Olave WR Tetairoa McMillan WR DK Metcalf,,,
560,5001704117,neiltho (3/5),0,146.21999,DST Bills  FLEX Juwan Johnson QB Tyler Shough RB Bijan Robinson RB Michael Carter TE Darren Waller WR Nico Collins WR Chris Olave WR DK Metcalf,,,
562,5001291658,kobun916 (4/5),0,146.14,DST Bengals  FLEX Jahmyr Gibbs QB Bryce Young RB Bijan Robinson RB James Cook III TE Darren Waller WR Courtland Sutton WR Jalen Coker WR Hollywood Brown,,,
563,5007414897,HouseRed (5/5),0,146.12,DST Titans  FLEX Amon-Ra St. Brown QB Tyler Shough RB Jahmyr Gibbs RB Michael Carter TE Juwan Johnson WR Chris Olave WR Mike Evans WR Isaiah Williams,,,
564,5007799038,rstrick33 (3/3),0,146.06,DST Texans  FLEX Jawhar Jordan QB Trevor Lawrence RB Bijan Robinson RB RJ Harvey TE Darren Waller WR Courtland Sutton WR Jakobi Meyers WR Brian Thomas Jr.,,,
565,5007908375,ryno815 (1/3),0,146.02002,DST Falcons  FLEX Jakobi Meyers QB Tyler Shough RB Bijan Robinson RB Jahmyr Gibbs TE Evan Engram WR Chris Olave WR DK Metcalf WR Xavier Worthy,,,
565,5002113283,bmoore44 (1/4),0,146.01999,DST Bills  FLEX Nico Collins QB Tyler Shough RB Bijan Robinson RB Michael Carter TE Juwan Johnson WR Chris Olave WR Adonai Mitchell WR Jalen Coker,,,
567,5005215110,murph4898 (4/5),0,145.98,DST Jets  FLEX Aaron Jones Sr. QB Bo Nix RB Bijan Robinson RB Jahmyr Gibbs TE Harold Fannin Jr. WR Courtland Sutton WR Jakobi Meyers WR Pat Bryant,,,
568,5006665078,RainGlove40 (3/3),0,145.92,DST Bengals  FLEX Bijan Robinson QB J.J. McCarthy RB Chase Brown RB Omarion Hampton TE T.J. Hockenson WR Mike Evans WR Justin Jefferson WR Courtland Sutton,,,
568,5007737948,pvalli01,0,145.92,DST Bills  FLEX Justin Jefferson QB Tyler Shough RB Jahmyr Gibbs RB Breece Hall TE Juwan Johnson WR Chris Olave WR DK Metcalf WR Adonai Mitchell,,,
570,5002080633,mohawk86 (2/5),0,145.90001,DST Texans  FLEX Bijan Robinson QB Gardner Minshew II RB Jahmyr Gibbs RB RJ Harvey TE Darnell Washington WR Chris Olave WR Adonai Mitchell WR Xavier Worthy,,,
571,5008094501,kreutzti (3/5),0,145.86,DST Giants  FLEX Kyle Pitts Sr. QB Joe Burrow RB Jahmyr Gibbs RB Tony Pollard TE Darren Waller WR Ja'Marr Chase WR DK Metcalf WR Xavier Worthy,,,
572,5007019457,rex21023 (2/5),0,145.81999,DST Texans  FLEX Juwan Johnson QB Tyler Shough RB Jahmyr Gibbs RB Aaron Jones Sr. TE Travis Kelce WR Chris Olave WR Mike Evans WR DK Metcalf,,,
573,5007387065,JohnnyCrash5 (3/5),0,145.76001,DST Bills  FLEX Darnell Washington QB Joe Burrow RB Bijan Robinson RB Kenneth Gainwell TE T.J. Hockenson WR Ja'Marr Chase WR Tee Higgins WR DK Metcalf,,,
573,5007450368,barretcf,0,145.76,DST Cardinals  FLEX Pat Bryant QB Jared Goff RB Jahmyr Gibbs RB Kenneth Gainwell TE Brenton Strange WR Amon-Ra St. Brown WR Courtland Sutton WR Jakobi Meyers,,,
575,5007127247,rackout (3/5),0,145.72,DST Chargers  FLEX DK Metcalf QB Tyler Shough RB Bijan Robinson RB Audric Estime TE Darren Waller WR Ja'Marr Chase WR Chris Olave WR Adonai Mitchell,,,
576,5001587239,Csulls3 (5/5),0,145.68,DST Jets  FLEX Travis Kelce QB Bo Nix RB Jahmyr Gibbs RB Michael Carter TE Harold Fannin Jr. WR Chris Olave WR Jameson Williams WR Tetairoa McMillan,,,
577,5004806523,rjmazeika (5/5),0,145.66,DST Texans  FLEX Darren Waller QB Jared Goff RB Bijan Robinson RB James Cook III TE Harold Fannin Jr. WR Jameson Williams WR Xavier Worthy WR John Metchie III,,,
578,5007932301,keinestan (1/3),0,145.62,DST Texans  FLEX Darren Waller QB Tyler Shough RB Jahmyr Gibbs RB Aaron Jones Sr. TE Juwan Johnson WR Amon-Ra St. Brown WR Chris Olave WR Adonai Mitchell,,,
579,5005512638,impaaaaact (2/4),0,145.6,DST Saints  FLEX Chris Olave QB Baker Mayfield RB Jahmyr Gibbs RB Omarion Hampton TE Darren Waller WR Mike Evans WR Emeka Egbuka WR Jalen Coker,,,
580,5005273920,foursons (1/5),0,145.56,DST Vikings  FLEX Nico Collins QB Joe Burrow RB Javonte Williams RB Kenneth Gainwell TE Mike Gesicki WR Ja'Marr Chase WR Jameson Williams WR Isaac TeSlaa,,,
581,5001587235,Csulls3 (1/5),0,145.51999,DST Texans  FLEX Juwan Johnson QB Tyler Shough RB Jahmyr Gibbs RB Bucky Irving TE Harold Fannin Jr. WR Tetairoa McMillan WR Courtland Sutton WR DK Metcalf,,,
581,5004948654,ckubs (4/5),0,145.51999,DST Texans  FLEX DK Metcalf QB Tyler Shough RB Jahmyr Gibbs RB Michael Carter TE Juwan Johnson WR Chris Olave WR Mike Evans WR Xavier Worthy,,,
581,5006744763,donkbowler (1/5),0,145.51999,DST Broncos  FLEX Tetairoa McMillan QB Tyler Shough RB Jahmyr Gibbs RB Bucky Irving TE Juwan Johnson WR Chris Olave WR DK Metcalf WR Adonai Mitchell,,,
584,5006610982,okcorral1881 (5/5),0,145.43999,DST Bills  FLEX Pat Bryant QB Bryce Young RB Bijan Robinson RB Jahmyr Gibbs TE Juwan Johnson WR Mike Evans WR Tetairoa McMillan WR Jalen Coker,,,
584,5007231258,AkiemRednecks (3/5),0,145.43999,DST Falcons  FLEX Jameson Williams QB Bryce Young RB Bijan Robinson RB Chase Brown TE Darren Waller WR Mike Evans WR Tetairoa McMillan WR Jalen Coker,,,
586,5005539587,bkreider (2/5),0,145.4,DST Titans  FLEX Kyle Pitts Sr. QB Justin Herbert RB Bijan Robinson RB Jahmyr Gibbs TE T.J. Hockenson WR CeeDee Lamb WR Keenan Allen WR Pat Bryant,,,
587,5006812667,asorin187 (2/5),0,145.38,DST Titans  FLEX Dalton Schultz QB C.J. Stroud RB Bijan Robinson RB Jahmyr Gibbs TE Juwan Johnson WR Jameson Williams WR Courtland Sutton WR Adonai Mitchell,,,
588,5006703858,zdolla16 (5/5),0,145.36,DST Giants  FLEX RJ Harvey QB Dak Prescott RB Omarion Hampton RB Michael Carter TE Juwan Johnson WR George Pickens WR Jameson Williams WR DK Metcalf,,,
589,5004339962,atong126 (5/5),0,145.34,DST Titans  FLEX Jahmyr Gibbs QB Aaron Rodgers RB Bijan Robinson RB Kenneth Gainwell TE Harold Fannin Jr. WR Ladd McConkey WR DK Metcalf WR John Metchie III,,,
590,5007616478,Treefolk06 (3/3),0,145.2,DST Saints  FLEX Jameson Williams QB Gardner Minshew II RB De'Von Achane RB Ashton Jeanty TE Dalton Schultz WR Michael Wilson WR Tetairoa McMillan WR Chimere Dike,,,
591,5007545852,fabfobs,0,145.12,DST Titans  FLEX Xavier Worthy QB Jacoby Brissett RB Bijan Robinson RB Kenneth Gainwell TE Harold Fannin Jr. WR Ja'Marr Chase WR Mike Evans WR Adonai Mitchell,,,
592,5007609432,brocksolid21,0,145.1,DST Jets  FLEX Kenneth Gainwell QB Baker Mayfield RB Bijan Robinson RB Jahmyr Gibbs TE Harold Fannin Jr. WR Mike Evans WR DK Metcalf WR Pat Bryant,,,
593,5005860784,hayeal3 (1/5),0,145.07999,DST Vikings  FLEX Juwan Johnson QB Kirk Cousins RB Bijan Robinson RB Jahmyr Gibbs TE Kyle Pitts Sr. WR Jameson Williams WR DK Metcalf WR Xavier Worthy,,,
594,5005998254,calvinnolte (4/5),0,145.06,DST Vikings  FLEX Jahmyr Gibbs QB Jared Goff RB Aaron Jones Sr. RB Kenneth Gainwell TE Harold Fannin Jr. WR Amon-Ra St. Brown WR Jakobi Meyers WR Pat Bryant,,,
594,5007617675,zvolm1012,0,145.06,DST Raiders  FLEX Ashton Jeanty QB Joe Burrow RB De'Von Achane RB Aaron Jones Sr. TE Darnell Washington WR Ja'Marr Chase WR Tee Higgins WR Hollywood Brown,,,
596,5001057370,bluefish112756 (1/4),0,145.02,DST Bills  FLEX Pat Bryant QB Tyler Shough RB Chase Brown RB Bucky Irving TE Travis Kelce WR Chris Olave WR Jameson Williams WR Ladd McConkey,,,
597,5008158408,odawg2121 (5/5),0,144.98,DST Vikings  FLEX Courtland Sutton QB Bo Nix RB Jahmyr Gibbs RB RJ Harvey TE Harold Fannin Jr. WR Mike Evans WR Jakobi Meyers WR Xavier Worthy,,,
598,5007470458,chickashea,0,144.9,DST Jets  FLEX DK Metcalf QB Justin Herbert RB Jahmyr Gibbs RB Bucky Irving TE Brock Bowers WR Chris Olave WR Keenan Allen WR Xavier Worthy,,,
599,5007335725,MattyG530 (3/4),0,144.87999,DST Titans  FLEX Michael Carter QB Bo Nix RB Jahmyr Gibbs RB Omarion Hampton TE Brenton Strange WR Mike Evans WR Tetairoa McMillan WR Courtland Sutton,,,
600,5001917849,Sportmeister77 (4/5),0,144.85999,DST Texans  FLEX Amon-Ra St. Brown QB Trevor Lawrence RB Aaron Jones Sr. RB Kenneth Gainwell TE Brenton Strange WR Mike Evans WR Courtland Sutton WR Jakobi Meyers,,,
600,5006754579,mikemarion308,0,144.85999,DST Bengals  FLEX Dalton Schultz QB Jared Goff RB Bijan Robinson RB Jahmyr Gibbs TE Dawson Knox WR Jameson Williams WR Courtland Sutton WR Jalen Coker,,,
602,5007151752,guapzone (3/3),0,144.81999,DST Bills  FLEX Darren Waller QB Tyler Shough RB Bijan Robinson RB Michael Carter TE Juwan Johnson WR Amon-Ra St. Brown WR Chris Olave WR Adonai Mitchell,,,
603,5006655552,Coach2780 (1/5),0,144.8,DST Jets  FLEX Justin Jefferson QB Justin Herbert RB Tony Pollard RB Kenneth Gainwell TE Oronde Gadsden II WR CeeDee Lamb WR George Pickens WR Ladd McConkey,,,
603,5007298968,joffyy (3/5),0,144.8,DST Texans  FLEX Juwan Johnson QB C.J. Stroud RB Bijan Robinson RB Kenneth Gainwell TE Taysom Hill WR Ja'Marr Chase WR Nico Collins WR Jayden Higgins,,,
605,5006643550,shrek4224 (5/5),0,144.78,DST Bengals  FLEX Kenneth Gainwell QB Bo Nix RB Chase Brown RB Javonte Williams TE Harold Fannin Jr. WR Amon-Ra St. Brown WR Courtland Sutton WR Xavier Worthy,,,
605,5006872569,tomjk321 (5/5),0,144.78,DST Raiders  FLEX Kyle Pitts Sr. QB Kirk Cousins RB Javonte Williams RB Aaron Jones Sr. TE Harold Fannin Jr. WR Ja'Marr Chase WR Drake London WR Chris Olave,,,
607,5007496412,smw88 (5/5),0,144.76001,DST Vikings  FLEX Michael Carter QB Trevor Lawrence RB Jahmyr Gibbs RB RJ Harvey TE Harold Fannin Jr. WR Tetairoa McMillan WR Jakobi Meyers WR Brian Thomas Jr.,,,
607,5007496918,cheffrank (4/5),0,144.76,DST Giants  FLEX Dalton Schultz QB Joe Burrow RB Michael Carter RB Kenneth Gainwell TE Mike Gesicki WR Ja'Marr Chase WR Amon-Ra St. Brown WR DK Metcalf,,,
609,5008055640,jtmahoney24 (5/5),0,144.72,DST Bengals  FLEX Michael Carter QB Tyler Shough RB Bijan Robinson RB Javonte Williams TE Juwan Johnson WR Chris Olave WR Jameson Williams WR Adonai Mitchell,,,
610,5004806522,rjmazeika (4/5),0,144.70001,DST Bills  FLEX T.J. Hockenson QB Baker Mayfield RB RJ Harvey RB Ashton Jeanty TE Travis Kelce WR Amon-Ra St. Brown WR Chris Olave WR Mike Evans,,,
611,5007211307,AntiGamblePhobia (1/3),0,144.68,DST Chargers  FLEX Kyle Pitts Sr. QB Jared Goff RB Jahmyr Gibbs RB Kenneth Gainwell TE Taysom Hill WR Amon-Ra St. Brown WR Jameson Williams WR DK Metcalf,,,
612,5006701374,jh181630 (5/5),0,144.66,DST Jets  FLEX Courtland Sutton QB Dak Prescott RB Bijan Robinson RB Kenneth Gainwell TE Harold Fannin Jr. WR CeeDee Lamb WR Keenan Allen WR Adonai Mitchell,,,
612,5007086378,OneDropKing (1/5),0,144.66,DST Titans  FLEX Drake London QB Dak Prescott RB Tyrone Tracy Jr. RB Aaron Jones Sr. TE Evan Engram WR George Pickens WR Chris Olave WR Ladd McConkey,,,
612,5007199426,StillEstablishingIt,0,144.66,DST Giants  FLEX Evan Engram QB Joe Burrow RB Jahmyr Gibbs RB Michael Carter TE Harold Fannin Jr. WR Ja'Marr Chase WR Tee Higgins WR Xavier Worthy,,,
612,5007908377,ryno815 (3/3),0,144.66,DST Falcons  FLEX Kenneth Gainwell QB Joe Burrow RB Jahmyr Gibbs RB Omarion Hampton TE Greg Dulcich WR Ja'Marr Chase WR Drake London WR Tre' Harris,,,
612,5008196483,slaabs10 (5/5),0,144.66,DST Titans  FLEX Michael Carter QB Jared Goff RB Jahmyr Gibbs RB Kenneth Gainwell TE Kyle Pitts Sr. WR Jameson Williams WR Mike Evans WR Adonai Mitchell,,,
617,5004177124,cmahon99 (1/5),0,144.62001,DST Bengals  FLEX Michael Carter QB Jacoby Brissett RB Bijan Robinson RB Jahmyr Gibbs TE Kyle Pitts Sr. WR Chris Olave WR Keenan Allen WR Jalen Brooks,,,
617,5001327170,bignutz02 (4/5),0,144.62,DST Texans  FLEX Jawhar Jordan QB Tyler Shough RB Jahmyr Gibbs RB Javonte Williams TE Juwan Johnson WR Chris Olave WR Ladd McConkey WR John Metchie III,,,
617,5008033120,jvj622 (2/5),0,144.62,DST Titans  FLEX Jahmyr Gibbs QB Tyler Shough RB Breece Hall RB Michael Carter TE Juwan Johnson WR Chris Olave WR Jameson Williams WR DK Metcalf,,,
620,5006756017,6picks (1/5),0,144.57999,DST Texans  FLEX Darren Waller QB Bo Nix RB Bijan Robinson RB Jahmyr Gibbs TE Brenton Strange WR Courtland Sutton WR Troy Franklin WR Jalen Coker,,,
621,5006677707,TeeJayOrTj (4/5),0,144.46,DST Titans  FLEX Darren Waller QB Joe Burrow RB Jahmyr Gibbs RB Aaron Jones Sr. TE Juwan Johnson WR Ja'Marr Chase WR Tee Higgins WR Adonai Mitchell,,,
621,5006987237,ravensrule22 (5/5),0,144.46,DST Titans  FLEX Darnell Washington QB Joe Burrow RB De'Von Achane RB RJ Harvey TE Mike Gesicki WR Ja'Marr Chase WR Jameson Williams WR Keenan Allen,,,
623,5005705087,stevencurran (3/5),0,144.36,DST Titans  FLEX Darnell Washington QB Joe Burrow RB De'Von Achane RB Kenneth Gainwell TE Mike Gesicki WR Ja'Marr Chase WR Amon-Ra St. Brown WR Malik Washington,,,
623,5007064443,Chipchasr1 (3/5),0,144.36,DST Titans  FLEX Chris Godwin Jr. QB Jared Goff RB Jahmyr Gibbs RB RJ Harvey TE Mike Gesicki WR Jameson Williams WR Tetairoa McMillan WR DK Metcalf,,,
623,5007716850,mattyp79,0,144.35999,DST Texans  FLEX Brock Bowers QB Joe Burrow RB Omarion Hampton RB Kenneth Gainwell TE T.J. Hockenson WR Ja'Marr Chase WR Justin Jefferson WR DK Metcalf,,,
626,5006964208,LuckyPapa,0,144.32,DST Titans  FLEX Trey McBride QB Jacoby Brissett RB Bijan Robinson RB Michael Carter TE Harold Fannin Jr. WR Chris Olave WR Mike Evans WR Jack Bech,,,
626,5007077760,rjeestep (5/5),0,144.32,DST Jets  FLEX Michael Carter QB Tyler Shough RB Bijan Robinson RB Jahmyr Gibbs TE Darren Waller WR Chris Olave WR DK Metcalf WR Xavier Worthy,,,
628,5006948179,jbeesee (4/5),0,144.28,DST Raiders  FLEX Jahmyr Gibbs QB Bo Nix RB Bijan Robinson RB Michael Carter TE Brenton Strange WR Tetairoa McMillan WR Courtland Sutton WR Pat Bryant,,,
629,5007082925,yoad1717 (4/5),0,144.26,DST Saints  FLEX Pat Freiermuth QB Joe Burrow RB De'Von Achane RB Kenneth Gainwell TE Darren Waller WR Jaylen Waddle WR Tee Higgins WR Jameson Williams,,,
630,5007965531,Scobud (2/3),0,144.22,DST Bills  FLEX Juwan Johnson QB Tyler Shough RB Jahmyr Gibbs RB James Cook III TE Harold Fannin Jr. WR Jameson Williams WR DK Metcalf WR Adonai Mitchell,,,
631,5007460769,Hobb1728 (4/4),0,144.2,DST Titans  FLEX Justin Jefferson QB Baker Mayfield RB Bijan Robinson RB Kenneth Gainwell TE Darren Waller WR Jameson Williams WR Mike Evans WR Tetairoa McMillan,,,
632,5006372942,BigMart11 (2/5),0,144.18,DST Titans  FLEX Michael Carter QB Bo Nix RB Bijan Robinson RB Jahmyr Gibbs TE Juwan Johnson WR Courtland Sutton WR DK Metcalf WR Pat Bryant,,,
633,5001291659,kobun916 (5/5),0,144.14,DST Chargers  FLEX James Cook III QB Bryce Young RB Bijan Robinson RB Jahmyr Gibbs TE Darren Waller WR Courtland Sutton WR Jalen Coker WR Hollywood Brown,,,
634,5008186596,MakeItRain84 (4/5),0,144.12001,DST Chargers  FLEX Bijan Robinson QB Tyler Shough RB Michael Carter RB Kenneth Gainwell TE Trey McBride WR Chris Olave WR Adonai Mitchell WR Xavier Worthy,,,
635,5004372031,deke971 (1/5),0,144.1,DST Titans  FLEX Oronde Gadsden II QB Justin Herbert RB Jahmyr Gibbs RB Javonte Williams TE Harold Fannin Jr. WR George Pickens WR Ladd McConkey WR Adonai Mitchell,,,
636,5007236870,Hansel02,0,144.08,DST Saints  FLEX DK Metcalf QB Bo Nix RB James Cook III RB Omarion Hampton TE Brenton Strange WR Amon-Ra St. Brown WR Courtland Sutton WR Marvin Mims Jr.,,,
637,5006660168,kcweir1087 (5/5),0,144.06,DST Titans  FLEX Kyle Pitts Sr. QB Dak Prescott RB Javonte Williams RB Aaron Jones Sr. TE Harold Fannin Jr. WR CeeDee Lamb WR Chris Olave WR DK Metcalf,,,
637,5007661565,jselby11 (4/5),0,144.06,DST Cardinals  FLEX Kenneth Gainwell QB Joe Burrow RB De'Von Achane RB Jawhar Jordan TE Mike Gesicki WR Ja'Marr Chase WR DK Metcalf WR Jalen Coker,,,
639,5006679852,haggs11 (3/5),0,144.03998,DST Vikings  FLEX Tetairoa McMillan QB Bryce Young RB Bijan Robinson RB Jahmyr Gibbs TE Darren Waller WR Courtland Sutton WR DK Metcalf WR Jalen Coker,,,
640,5007421277,lee__D (5/5),0,144.02,DST Jaguars  FLEX Trey McBride QB Jacoby Brissett RB Bijan Robinson RB James Cook III TE Tommy Tremble WR Chris Olave WR Xavier Worthy WR Chimere Dike,,,
640,5007000685,robgiuliano (5/5),0,144.01999,DST Giants  FLEX Harold Fannin Jr. QB Tyler Shough RB De'Von Achane RB Tyrone Tracy Jr. TE Travis Kelce WR Chris Olave WR Jameson Williams WR DK Metcalf,,,
640,5007492392,AshyL4rry (4/5),0,144.01999,DST Jets  FLEX Kyle Pitts Sr. QB Jacoby Brissett RB Bijan Robinson RB Aaron Jones Sr. TE Juwan Johnson WR Ja'Marr Chase WR Courtland Sutton WR DK Metcalf,,,
643,5006627167,melnash,0,144,DST Titans  FLEX Juwan Johnson QB Justin Herbert RB Chase Brown RB Omarion Hampton TE Darren Waller WR Amon-Ra St. Brown WR Nico Collins WR DK Metcalf,,,
644,5008081224,daltonneece (1/5),0,143.98,DST Vikings  FLEX Jahmyr Gibbs QB Bo Nix RB Bijan Robinson RB Aaron Jones Sr. TE Harold Fannin Jr. WR Courtland Sutton WR Xavier Worthy WR Jayden Higgins,,,
645,5001629324,bloodboys (2/5),0,143.95999,DST Saints  FLEX Darren Waller QB Dak Prescott RB Bijan Robinson RB Tony Pollard TE Jake Ferguson WR CeeDee Lamb WR Chris Olave WR Jalen Nailor,,,
646,5007284501,bmoore44 (3/4),0,143.92,DST Titans  FLEX RJ Harvey QB Tyler Shough RB Javonte Williams RB Omarion Hampton TE Pat Freiermuth WR CeeDee Lamb WR Chris Olave WR Jameson Williams,,,
647,5007455394,saldambro (4/5),0,143.9,DST Broncos  FLEX Dalton Schultz QB Gardner Minshew II RB Bijan Robinson RB Kenneth Gainwell TE Travis Kelce WR Ja'Marr Chase WR Chris Olave WR Xavier Worthy,,,
648,5000589909,bkriss (4/5),0,143.88,DST Vikings  FLEX Adonai Mitchell QB Bo Nix RB Bijan Robinson RB Chase Brown TE Greg Dulcich WR Amon-Ra St. Brown WR Courtland Sutton WR Xavier Worthy,,,
648,5005976938,petelin (4/5),0,143.88,DST Cardinals  FLEX Omarion Hampton QB Bo Nix RB Jahmyr Gibbs RB James Cook III TE Evan Engram WR Mike Evans WR Courtland Sutton WR Jalen Coker,,,
648,5006837260,jmhalle (2/2),0,143.87999,DST Titans  FLEX Kyle Pitts Sr. QB Bo Nix RB Bijan Robinson RB Michael Carter TE Harold Fannin Jr. WR Amon-Ra St. Brown WR Courtland Sutton WR Pat Bryant,,,
648,5007157221,alecplarod (3/3),0,143.87999,DST Chargers  FLEX Omarion Hampton QB Bo Nix RB Jahmyr Gibbs RB James Cook III TE Brenton Strange WR Courtland Sutton WR DK Metcalf WR Adonai Mitchell,,,
652,5004457260,Eoin415 (5/5),0,143.85999,DST Giants  FLEX Juwan Johnson QB Jared Goff RB Jahmyr Gibbs RB Omarion Hampton TE Harold Fannin Jr. WR Amon-Ra St. Brown WR DK Metcalf WR Xavier Worthy,,,
652,5006661158,Bird77 (3/5),0,143.85999,DST Saints  FLEX Courtland Sutton QB Jared Goff RB Bijan Robinson RB Quinshon Judkins TE Darren Waller WR Jameson Williams WR DK Metcalf WR Jalen Coker,,,
654,5002362977,fluffhead009,0,143.84,DST Jets  FLEX Kenneth Gainwell QB Aaron Rodgers RB Bijan Robinson RB Jahmyr Gibbs TE Harold Fannin Jr. WR Mike Evans WR DK Metcalf WR Xavier Worthy,,,
655,5007530831,Bmacclure11 (1/5),0,143.82,DST Texans  FLEX Chris Olave QB Tyler Shough RB Bijan Robinson RB Bucky Irving TE Evan Engram WR Tetairoa McMillan WR Brian Thomas Jr. WR Adonai Mitchell,,,
656,5006773837,zestfulyclean (3/5),0,143.78,DST Bengals  FLEX Kenneth Gainwell QB Bo Nix RB Bijan Robinson RB Bucky Irving TE Brenton Strange WR Jameson Williams WR Courtland Sutton WR Keenan Allen,,,
657,5002300440,Papy324 (5/5),0,143.73999,DST Texans  FLEX DK Metcalf QB Bryce Young RB Bijan Robinson RB Omarion Hampton TE Harold Fannin Jr. WR Mike Evans WR Tetairoa McMillan WR Jalen Coker,,,
657,5007494826,Trok1 (2/5),0,143.73999,DST Texans  FLEX Juwan Johnson QB Bryce Young RB Bijan Robinson RB Jahmyr Gibbs TE Darren Waller WR Mike Evans WR Tetairoa McMillan WR Hollywood Brown,,,
659,5007360369,Jfred21 (4/5),0,143.68,DST Giants  FLEX Evan Engram QB Kirk Cousins RB Bijan Robinson RB Jahmyr Gibbs TE Kyle Pitts Sr. WR Jameson Williams WR Mike Evans WR Xavier Worthy,,,
660,5008051613,thetylercrowley (4/5),0,143.65999,DST Jets  FLEX Dalton Schultz QB Joe Burrow RB Jahmyr Gibbs RB Kenneth Gainwell TE T.J. Hockenson WR Ja'Marr Chase WR Tee Higgins WR DK Metcalf,,,
661,5004962450,BBOY3110 (1/5),0,143.62,DST Titans  FLEX Kyle Pitts Sr. QB Jacoby Brissett RB Michael Carter RB Kenneth Gainwell TE Trey McBride WR Chris Olave WR Jameson Williams WR Justin Jefferson,,,
661,5007648056,MrManager (2/5),0,143.62,DST Titans  FLEX Bijan Robinson QB J.J. McCarthy RB Omarion Hampton RB Kenneth Gainwell TE Darren Waller WR CeeDee Lamb WR Justin Jefferson WR Courtland Sutton,,,
663,5006633343,hayeal3 (3/5),0,143.57999,DST Vikings  FLEX Jameson Williams QB Bo Nix RB James Cook III RB Travis Etienne Jr. TE Harold Fannin Jr. WR Courtland Sutton WR DK Metcalf WR Xavier Worthy,,,
664,5005780359,Lloydo9,0,143.54,DST Jets  FLEX Jahmyr Gibbs QB Bryce Young RB Bijan Robinson RB Michael Carter TE T.J. Hockenson WR Chris Olave WR Mike Evans WR Jalen Coker,,,
665,5006861413,timothe1967 (2/3),0,143.51999,DST Broncos  FLEX Justin Jefferson QB Tyler Shough RB James Cook III RB Javonte Williams TE Juwan Johnson WR Chris Olave WR Wan'Dale Robinson WR Adonai Mitchell,,,
665,5006885463,bradttu (1/5),0,143.51999,DST Titans  FLEX DK Metcalf QB Tyler Shough RB Javonte Williams RB RJ Harvey TE Darren Waller WR Amon-Ra St. Brown WR Chris Olave WR Courtland Sutton,,,
667,5007639631,yostypants (2/5),0,143.5,DST Bengals  FLEX Javonte Williams QB Baker Mayfield RB Jahmyr Gibbs RB Kenneth Gainwell TE Juwan Johnson WR Mike Evans WR Tetairoa McMillan WR Courtland Sutton,,,
668,5007122051,ihdollen (2/3),0,143.43999,DST Vikings  FLEX Bijan Robinson QB Bryce Young RB James Cook III RB Audric Estime TE Darren Waller WR Justin Jefferson WR Tetairoa McMillan WR DK Metcalf,,,
669,5007822964,takenuuptown (2/5),0,143.29999,DST Bengals  FLEX Harold Fannin Jr. QB Baker Mayfield RB Jahmyr Gibbs RB Michael Carter TE Travis Kelce WR Chris Olave WR Mike Evans WR Tetairoa McMillan,,,
670,5007831208,allen69 (2/5),0,143.26001,DST Jets  FLEX Omarion Hampton QB Jared Goff RB Chase Brown RB Kenneth Gainwell TE Darren Waller WR Amon-Ra St. Brown WR Jameson Williams WR DK Metcalf,,,
671,5005763332,centaur83 (1/5),0,143.23999,DST Saints  FLEX Bijan Robinson QB Aaron Rodgers RB Jahmyr Gibbs RB Kenneth Gainwell TE Pat Freiermuth WR Jameson Williams WR DK Metcalf WR Xavier Worthy,,,
671,5007594238,EHulseDC (3/5),0,143.23999,DST Giants  FLEX Jameson Williams QB Aaron Rodgers RB Jahmyr Gibbs RB Kenneth Gainwell TE Juwan Johnson WR Ja'Marr Chase WR DK Metcalf WR Xavier Worthy,,,
673,5001888890,Wafflemouse (2/5),0,143.22,DST Falcons  FLEX T.J. Hockenson QB Tyler Shough RB Bijan Robinson RB Jahmyr Gibbs TE Darren Waller WR Amon-Ra St. Brown WR Chris Olave WR Mason Tipton,,,
674,5004991139,M3Sarisky (4/5),0,143.18001,DST Bengals  FLEX Travis Etienne Jr. QB Bo Nix RB Bijan Robinson RB Kenneth Gainwell TE Evan Engram WR Jameson Williams WR Courtland Sutton WR Jakobi Meyers,,,
674,5001257719,imrosebowl,0,143.18,DST Browns  FLEX Evan Engram QB Bo Nix RB Bijan Robinson RB Jahmyr Gibbs TE Harold Fannin Jr. WR Justin Jefferson WR Courtland Sutton WR DK Metcalf,,,
