Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
24,5005031838,bnance82 (2/5),0,177.31999,DST Saints  FLEX Kenneth Gainwell QB Tyler Shough RB Bijan Robinson RB Michael Carter TE Juwan Johnson WR Chris Olave WR Jameson Williams WR Keenan Allen,,Justin Jefferson,WR,11.72%,14.5
24,5007940661,shaneomiz (3/4),0,177.31999,DST Saints  FLEX Brenton Strange QB Tyler Shough RB Bijan Robinson RB Audric Estime TE Juwan Johnson WR Ja'Marr Chase WR Chris Olave WR Adonai Mitchell,,Jared Goff,QB,11.69%,29.46
26,5004850248,Matt20202 (4/4),0,177.22,DST Bengals  FLEX Kenneth Gainwell QB Tyler Shough RB De'Von Achane RB Chase Brown TE Juwan Johnson WR Chris Olave WR Jameson Williams WR Jalen Coker,,Tyler Shough,QB,11.29%,20.12
27,5008173520,RandBros24 (3/3),0,177.18001,DST Saints  FLEX Travis Kelce QB Bo Nix RB Jahmyr Gibbs RB Kenneth Gainwell TE Brenton Strange WR Chris Olave WR Justin Jefferson WR Courtland Sutton,,Tetairoa McMillan,WR,11.29%,19.3
28,5007980775,49ers4l1f3 (2/3),0,176.98001,DST Titans  FLEX Bijan Robinson QB Bo Nix RB De'Von Achane RB Kenneth Gainwell TE Evan Engram WR Chris Olave WR Courtland Sutton WR Pat Bryant,,Gardner Minshew II,QB,11.07%,1.4
29,5006716015,TtheLEE71 (3/5),0,176.92001,DST Saints  FLEX De'Von Achane QB Tyler Shough RB James Cook III RB Kenneth Gainwell TE Harold Fannin Jr. WR Chris Olave WR Adonai Mitchell WR Jalen Nailor,,Jalen Coker,FLEX,11.04%,7.7
30,5007298969,joffyy (4/5),0,176.84,DST Saints  FLEX Jahmyr Gibbs QB Tyler Shough RB James Cook III RB Aaron Jones Sr. TE Taysom Hill WR Chris Olave WR Jameson Williams WR Xavier Worthy,,Ja'Marr Chase,WR,10.87%,22.9
31,5007051047,eys819 (4/5),0,176.82,DST Titans  FLEX Jameson Williams QB Tyler Shough RB Jahmyr Gibbs RB Kenneth Gainwell TE Harold Fannin Jr. WR Chris Olave WR Courtland Sutton WR DK Metcalf,,Bengals ,DST,10.47%,6
32,5006971657,babyregg3200 (1/5),0,175.44,DST Giants  FLEX Jahmyr Gibbs QB Tyler Shough RB Michael Carter RB Kenneth Gainwell TE Taysom Hill WR Ja'Marr Chase WR Chris Olave WR DK Metcalf,,Aaron Jones Sr.,RB,10.33%,11.3
33,5004933254,phsmith8 (1/5),0,175.12,DST Texans  FLEX Harold Fannin Jr. QB Tyler Shough RB James Cook III RB Kenneth Gainwell TE Juwan Johnson WR Amon-Ra St. Brown WR Chris Olave WR Hollywood Brown,,Hollywood Brown,WR,10.02%,5.2
34,5007368101,SAbts71,0,174.81999,DST Titans  FLEX Tetairoa McMillan QB Tyler Shough RB Bijan Robinson RB Quinshon Judkins TE Juwan Johnson WR Chris Olave WR Courtland Sutton WR DK Metcalf,,Vikings ,DST,9.06%,11
35,5007007819,Robbyallen4444 (1/3),0,174.42,DST Titans  FLEX Harold Fannin Jr. QB Tyler Shough RB Bijan Robinson RB Jahmyr Gibbs TE Juwan Johnson WR Chris Olave WR DK Metcalf WR Adonai Mitchell,,Nico Collins,FLEX,8.83%,9.9
35,5007531914,mhill35 (4/5),0,174.42,DST Titans  FLEX Juwan Johnson QB Tyler Shough RB Bijan Robinson RB Jahmyr Gibbs TE Harold Fannin Jr. WR Chris Olave WR DK Metcalf WR Adonai Mitchell,,Javonte Williams,RB,8.60%,6.3
37,5002173338,futurehendrix1 (2/5),0,174.34,DST Titans  FLEX Kyle Pitts Sr. QB Tyler Shough RB Bijan Robinson RB Jahmyr Gibbs TE Taysom Hill WR Chris Olave WR Jakobi Meyers WR DK Metcalf,,Kyle Pitts Sr.,TE,8.12%,18.7
38,5001589283,Matt20202 (2/4),0,174.32,DST Texans  FLEX Kenneth Gainwell QB Jacoby Brissett RB Jahmyr Gibbs RB Chase Brown TE Darren Waller WR Chris Olave WR Tetairoa McMillan WR Xavier Worthy,,Bo Nix,QB,7.78%,20.18
39,5007864796,kavalier9778 (2/3),0,174.12,DST Saints  FLEX DK Metcalf QB Tyler Shough RB Jahmyr Gibbs RB Kenneth Gainwell TE Darren Waller WR Chris Olave WR Mike Evans WR Tetairoa McMillan,,Omarion Hampton,RB,7.42%,16.5
40,5004128423,Sorrymatt2 (1/5),0,173.81999,DST Bengals  FLEX Harold Fannin Jr. QB Tyler Shough RB Jahmyr Gibbs RB James Cook III TE Juwan Johnson WR Chris Olave WR Jameson Williams WR Adonai Mitchell,,Bucky Irving,RB,7.39%,7.1
41,5006327041,rch871 (1/2),0,173.22,DST Titans  FLEX Harold Fannin Jr. QB Tyler Shough RB Bijan Robinson RB Jahmyr Gibbs TE Juwan Johnson WR Chris Olave WR DK Metcalf WR Xavier Worthy,,Jakobi Meyers,WR,7.05%,8.6
42,5002173341,futurehendrix1 (5/5),0,173.04001,DST Vikings  FLEX Jahmyr Gibbs QB Tyler Shough RB Bijan Robinson RB Michael Carter TE Taysom Hill WR Chris Olave WR Courtland Sutton WR Xavier Worthy,,Audric Estime,RB,7.02%,6.6
43,5007331113,phenninger (3/5),0,172.92,DST Titans  FLEX Michael Wilson QB Tyler Shough RB Bijan Robinson RB Kenneth Gainwell TE Juwan Johnson WR Chris Olave WR Jameson Williams WR Adonai Mitchell,,Dalton Schultz,FLEX,6.91%,14.5
44,5006708658,cameronhart23 (4/5),0,172.81999,DST Titans  FLEX Kenneth Gainwell QB Jacoby Brissett RB Jahmyr Gibbs RB James Cook III TE Harold Fannin Jr. WR Chris Olave WR DK Metcalf WR Jalen Coker,,Drake London,WR,6.74%,5.7
44,5008195041,officialcraigy (3/5),0,172.81999,DST Giants  FLEX Dalton Schultz QB Tyler Shough RB Bijan Robinson RB Michael Carter TE Juwan Johnson WR Ja'Marr Chase WR Chris Olave WR Adonai Mitchell,,Giants ,DST,6.48%,15
46,5007455395,saldambro (5/5),0,172.72,DST Saints  FLEX Oronde Gadsden II QB Tyler Shough RB Bijan Robinson RB Jahmyr Gibbs TE Juwan Johnson WR Chris Olave WR Justin Jefferson WR Mason Tipton,,Saints ,DST,6.11%,19
47,5006746485,aclegend89 (2/5),0,172.62001,DST Vikings  FLEX RJ Harvey QB Tyler Shough RB Bijan Robinson RB James Cook III TE Darren Waller WR Chris Olave WR Adonai Mitchell WR Xavier Worthy,,Bills ,DST,6.11%,8
48,5001838339,bjblitzkreig,0,172.54001,DST Titans  FLEX Taysom Hill QB Jacoby Brissett RB Bijan Robinson RB Jahmyr Gibbs TE Harold Fannin Jr. WR Chris Olave WR Justin Jefferson WR DK Metcalf,,Michael Wilson,WR,6.00%,13.2
49,5007858341,CosaSpeciale (4/5),0,172.31999,DST Giants  FLEX Travis Kelce QB Tyler Shough RB Bijan Robinson RB James Cook III TE Juwan Johnson WR Chris Olave WR Justin Jefferson WR Hollywood Brown,,Evan Engram,TE,5.92%,5.6
50,5005758483,terevdfs1188 (2/5),0,172.22,DST Giants  FLEX Amon-Ra St. Brown QB Tyler Shough RB Jahmyr Gibbs RB Ashton Jeanty TE Juwan Johnson WR Chris Olave WR Adonai Mitchell WR Xavier Worthy,,Pat Bryant,WR,5.63%,9.2
50,5006621062,watson124455 (4/5),0,172.22,DST Falcons  FLEX Dalton Schultz QB Tyler Shough RB Bijan Robinson RB Jahmyr Gibbs TE Juwan Johnson WR Chris Olave WR Mike Evans WR Pat Bryant,,Oronde Gadsden II,TE,5.18%,1.7
50,5007474390,tstokke34 (1/5),0,172.21999,DST Raiders  FLEX Juwan Johnson QB Tyler Shough RB Jahmyr Gibbs RB James Cook III TE Harold Fannin Jr. WR Chris Olave WR Justin Jefferson WR DK Metcalf,,Ladd McConkey,WR,5.07%,14.3
53,5008205707,MillionDollarPoker (5/5),0,172.12,DST Texans  FLEX Juwan Johnson QB Tyler Shough RB Bijan Robinson RB Bucky Irving TE Harold Fannin Jr. WR Chris Olave WR Courtland Sutton WR Adonai Mitchell,,Keenan Allen,WR,5.04%,9.4
54,5001680900,rdog (1/5),0,172.01999,DST Bills  FLEX Juwan Johnson QB Tyler Shough RB Jahmyr Gibbs RB James Cook III TE Harold Fannin Jr. WR Chris Olave WR DK Metcalf WR Adonai Mitchell,,C.J. Stroud,QB,5.04%,11.48
54,5001902493,Horseplayer1975 (4/5),0,172.01999,DST Bills  FLEX Juwan Johnson QB Tyler Shough RB Jahmyr Gibbs RB James Cook III TE Harold Fannin Jr. WR Chris Olave WR DK Metcalf WR Adonai Mitchell,,T.J. Hockenson,FLEX,4.78%,1.2
54,5007104209,WalterSobChalk (2/5),0,172.01999,DST Bills  FLEX Juwan Johnson QB Tyler Shough RB Jahmyr Gibbs RB James Cook III TE Harold Fannin Jr. WR Chris Olave WR DK Metcalf WR Adonai Mitchell,,RJ Harvey,RB,4.73%,22.1
54,5007810727,Proxx20 (2/5),0,172.01999,DST Bills  FLEX Harold Fannin Jr. QB Tyler Shough RB Jahmyr Gibbs RB James Cook III TE Juwan Johnson WR Chris Olave WR DK Metcalf WR Adonai Mitchell,,Quinn Ewers,QB,4.70%,8.9
58,5006603486,movernshaker21,0,171.92,DST Raiders  FLEX Jahmyr Gibbs QB Tyler Shough RB James Cook III RB Kenneth Gainwell TE Juwan Johnson WR Chris Olave WR Jameson Williams WR Xavier Worthy,,Justin Herbert,QB,4.33%,33.2
58,5007801964,bigguyka (3/5),0,171.92,DST Texans  FLEX Harold Fannin Jr. QB Tyler Shough RB Chase Brown RB Michael Carter TE Juwan Johnson WR Michael Wilson WR Chris Olave WR Jameson Williams,,Brenton Strange,TE,4.27%,14.9
60,5006828423,Donald317 (2/4),0,171.62,DST Texans  FLEX Kenneth Gainwell QB Tyler Shough RB Michael Carter RB Aaron Jones Sr. TE Juwan Johnson WR Ja'Marr Chase WR Chris Olave WR Tetairoa McMillan,,Darnell Washington,FLEX,4.27%,5.6
60,5007656170,AtticusA01 (3/5),0,171.62,DST Falcons  FLEX Harold Fannin Jr. QB Tyler Shough RB Bijan Robinson RB Kenneth Gainwell TE Juwan Johnson WR Amon-Ra St. Brown WR Chris Olave WR Adonai Mitchell,,Falcons ,DST,4.13%,5
62,5007472795,SICKHEMI (2/5),0,171.6,DST Titans  FLEX Brenton Strange QB Justin Herbert RB Bijan Robinson RB Aaron Jones Sr. TE Harold Fannin Jr. WR Ja'Marr Chase WR Courtland Sutton WR Keenan Allen,,Browns ,DST,4.08%,2
63,5005484511,impaaaaact (1/4),0,171.45999,DST Vikings  FLEX Jalen Coker QB Joe Burrow RB James Cook III RB Omarion Hampton TE Darren Waller WR Ja'Marr Chase WR Chris Olave WR Hollywood Brown,,Chase Brown,RB,3.96%,32.9
64,5004227537,baldwinju (3/5),0,171.36002,DST Bengals  FLEX Mike Evans QB Jared Goff RB Jahmyr Gibbs RB Kenneth Gainwell TE Jonnu Smith WR Chris Olave WR Jameson Williams WR Courtland Sutton,,Joe Burrow,QB,3.96%,31.96
65,5006736614,MRKC (1/5),0,171.01999,DST Vikings  FLEX Justin Jefferson QB Tyler Shough RB Bijan Robinson RB James Cook III TE Brenton Strange WR Chris Olave WR Adonai Mitchell WR Jerry Jeudy,,Aaron Rodgers,QB,3.93%,15.54
66,5005417414,PigskinABlanket (2/5),0,170.88,DST Giants  FLEX Dalton Schultz QB Jared Goff RB Bijan Robinson RB Kenneth Gainwell TE Taysom Hill WR Amon-Ra St. Brown WR Jameson Williams WR Courtland Sutton,,Bryce Young,QB,3.93%,17.64
67,5006947033,gr8danser (2/4),0,170.81999,DST Giants  FLEX Juwan Johnson QB Tyler Shough RB Jahmyr Gibbs RB Michael Carter TE Harold Fannin Jr. WR Ja'Marr Chase WR Chris Olave WR Adonai Mitchell,,CeeDee Lamb,WR,3.68%,11.1
67,5007562907,bhibby (1/5),0,170.81999,DST Giants  FLEX Juwan Johnson QB Tyler Shough RB Jahmyr Gibbs RB Michael Carter TE Harold Fannin Jr. WR Ja'Marr Chase WR Chris Olave WR Adonai Mitchell,,J.J. McCarthy,QB,3.42%,10.32
67,5007771312,jdwdj2020,0,170.81999,DST Giants  FLEX Juwan Johnson QB Tyler Shough RB Jahmyr Gibbs RB Michael Carter TE Harold Fannin Jr. WR Ja'Marr Chase WR Chris Olave WR Adonai Mitchell,,Quinshon Judkins,RB,3.40%,10.1
67,5004976061,McWillis73 (2/5),0,170.81998,DST Bills  FLEX Juwan Johnson QB Tyler Shough RB Jahmyr Gibbs RB James Cook III TE Harold Fannin Jr. WR Chris Olave WR DK Metcalf WR Xavier Worthy,,Kirk Cousins,QB,3.34%,19.58
67,5008181537,Gronkowski69 (3/5),0,170.81998,DST Bills  FLEX Juwan Johnson QB Tyler Shough RB Jahmyr Gibbs RB James Cook III TE Harold Fannin Jr. WR Chris Olave WR DK Metcalf WR Xavier Worthy,,Jayden Higgins,WR,3.31%,2.7
72,5002341423,loumister35 (5/5),0,170.72,DST Giants  FLEX Harold Fannin Jr. QB Tyler Shough RB Bijan Robinson RB James Cook III TE Travis Kelce WR Chris Olave WR DK Metcalf WR Adonai Mitchell,,Baker Mayfield,QB,3.28%,13.7
73,5001387648,bbergandy (1/5),0,170.42,DST Bengals  FLEX Juwan Johnson QB Tyler Shough RB Bijan Robinson RB Jahmyr Gibbs TE Harold Fannin Jr. WR Chris Olave WR DK Metcalf WR Adonai Mitchell,,Chargers ,DST,3.09%,4
73,5005275179,vanderthor (1/5),0,170.42,DST Bengals  FLEX Juwan Johnson QB Tyler Shough RB Bijan Robinson RB Jahmyr Gibbs TE Harold Fannin Jr. WR Chris Olave WR DK Metcalf WR Adonai Mitchell,,Breece Hall,RB,3.03%,8.3
73,5006677704,TeeJayOrTj (1/5),0,170.42,DST Bengals  FLEX Juwan Johnson QB Tyler Shough RB Bijan Robinson RB Jahmyr Gibbs TE Harold Fannin Jr. WR Chris Olave WR DK Metcalf WR Adonai Mitchell,,Broncos ,DST,2.75%,4
73,5006921743,stevefederspiel,0,170.42,DST Bengals  FLEX Juwan Johnson QB Tyler Shough RB Bijan Robinson RB Jahmyr Gibbs TE Harold Fannin Jr. WR Chris Olave WR DK Metcalf WR Adonai Mitchell,,Raiders ,DST,2.66%,1
73,5007007830,Robbyallen4444 (2/3),0,170.42,DST Bengals  FLEX Juwan Johnson QB Tyler Shough RB Bijan Robinson RB Jahmyr Gibbs TE Harold Fannin Jr. WR Chris Olave WR DK Metcalf WR Adonai Mitchell,,Tee Higgins,WR,2.63%,14.3
73,5007531912,mhill35 (2/5),0,170.42,DST Bengals  FLEX Juwan Johnson QB Tyler Shough RB Bijan Robinson RB Jahmyr Gibbs TE Harold Fannin Jr. WR Chris Olave WR DK Metcalf WR Adonai Mitchell,,Pat Freiermuth,TE,2.58%,6
73,5007627823,pseanrams (5/5),0,170.42,DST Bengals  FLEX Harold Fannin Jr. QB Tyler Shough RB Bijan Robinson RB Jahmyr Gibbs TE Juwan Johnson WR Chris Olave WR DK Metcalf WR Adonai Mitchell,,Mike Gesicki,FLEX,2.49%,12.5
73,5008115355,rcope1978,0,170.42,DST Bengals  FLEX Harold Fannin Jr. QB Tyler Shough RB Bijan Robinson RB Jahmyr Gibbs TE Juwan Johnson WR Chris Olave WR DK Metcalf WR Adonai Mitchell,,George Pickens,WR,2.41%,29
73,5008181535,Gronkowski69 (1/5),0,170.42,DST Bengals  FLEX Juwan Johnson QB Tyler Shough RB Bijan Robinson RB Jahmyr Gibbs TE Harold Fannin Jr. WR Chris Olave WR DK Metcalf WR Adonai Mitchell,,Theo Johnson,TE,2.32%,0
82,5006908375,Professional (1/5),0,170.31999,DST Texans  FLEX Juwan Johnson QB Tyler Shough RB Bijan Robinson RB Jahmyr Gibbs TE Harold Fannin Jr. WR Chris Olave WR DK Metcalf WR JuJu Smith-Schuster,,Rico Dowdle,RB,2.32%,8.3
82,5006980639,mickey55906 (1/5),0,170.31999,DST Falcons  FLEX Juwan Johnson QB Tyler Shough RB Jahmyr Gibbs RB RJ Harvey TE Harold Fannin Jr. WR Ja'Marr Chase WR Chris Olave WR Joshua Palmer,,Tony Pollard,RB,2.26%,13.2
84,5007536858,lyfehooper23,0,170.16,DST Chargers  FLEX Jameson Williams QB Jared Goff RB Jahmyr Gibbs RB Kenneth Gainwell TE Juwan Johnson WR Chris Olave WR Mike Evans WR Adonai Mitchell,,Tyrone Tracy Jr.,RB,2.04%,9.8
85,5007467683,terpfan22 (2/2),0,169.81999,DST Texans  FLEX Gunnar Helm QB Tyler Shough RB Bijan Robinson RB Jahmyr Gibbs TE Harold Fannin Jr. WR Chris Olave WR Justin Jefferson WR Tre' Harris,,Wan'Dale Robinson,WR,1.84%,5.2
86,5006660167,kcweir1087 (4/5),0,169.68,DST Titans  FLEX Brenton Strange QB Bo Nix RB Bijan Robinson RB Javonte Williams TE Harold Fannin Jr. WR Chris Olave WR Courtland Sutton WR Jakobi Meyers,,Jawhar Jordan,FLEX,1.84%,12
87,5007562910,bhibby (4/5),0,169.62,DST Saints  FLEX Travis Kelce QB Tyler Shough RB Bijan Robinson RB Kenneth Gainwell TE Juwan Johnson WR Amon-Ra St. Brown WR Chris Olave WR Pat Bryant,,Marvin Harrison Jr.,WR,1.75%,2.4
87,5007781811,giantsquid (3/5),0,169.62,DST Giants  FLEX Harold Fannin Jr. QB Tyler Shough RB Jahmyr Gibbs RB Michael Carter TE Juwan Johnson WR Ja'Marr Chase WR Chris Olave WR Xavier Worthy,,Dak Prescott,QB,1.73%,19.16
89,5001694423,Itonlyendsonce (3/5),0,169.54001,DST Raiders  FLEX Taysom Hill QB Tyler Shough RB Bijan Robinson RB Jahmyr Gibbs TE Harold Fannin Jr. WR Chris Olave WR Jameson Williams WR DK Metcalf,,Travis Etienne Jr.,FLEX,1.73%,16.6
90,5004275706,sfleck334 (4/5),0,169.31999,DST Saints  FLEX Darren Waller QB Tyler Shough RB Bijan Robinson RB Michael Carter TE Juwan Johnson WR Ja'Marr Chase WR Chris Olave WR Adonai Mitchell,,Brian Thomas Jr.,WR,1.64%,3.8
91,5007771048,TBrook3452 (1/5),0,169.22,DST Bengals  FLEX Juwan Johnson QB Tyler Shough RB Bijan Robinson RB Jahmyr Gibbs TE Harold Fannin Jr. WR Chris Olave WR DK Metcalf WR Xavier Worthy,,Troy Franklin,WR,1.61%,10.6
92,5004629238,bancheria (5/5),0,169.01999,DST Texans  FLEX Harold Fannin Jr. QB Tyler Shough RB Jahmyr Gibbs RB RJ Harvey TE Juwan Johnson WR Chris Olave WR Jakobi Meyers WR DK Metcalf,,Jordan Addison,WR,1.59%,4.6
93,5008156553,ryhawks49,0,168.62,DST Panthers  FLEX Dalton Schultz QB Tyler Shough RB De'Von Achane RB Kenneth Gainwell TE Juwan Johnson WR Nico Collins WR Chris Olave WR Courtland Sutton,,Josh Allen,QB,1.56%,6.9
94,5001694421,Itonlyendsonce (1/5),0,168.52,DST Titans  FLEX T.J. Hockenson QB Tyler Shough RB Bijan Robinson RB Jahmyr Gibbs TE Juwan Johnson WR Chris Olave WR Tetairoa McMillan WR Jakobi Meyers,,Darius Slayton,WR,1.53%,1.8
95,5007791922,bigguyka (2/5),0,168.48,DST Broncos  FLEX Kyle Pitts Sr. QB Bo Nix RB Bijan Robinson RB Michael Carter TE Harold Fannin Jr. WR Chris Olave WR Courtland Sutton WR Keenan Allen,,Taysom Hill,TE,1.44%,16.32
96,5007288348,Bongjovi (5/5),0,168.45999,DST Giants  FLEX Brock Bowers QB Trevor Lawrence RB Jahmyr Gibbs RB Chase Brown TE Brenton Strange WR Courtland Sutton WR Jakobi Meyers WR DK Metcalf,,Jalen Nailor,WR,1.44%,0
97,5001601320,Dikstallion,0,168.42,DST Titans  FLEX Darren Waller QB Tyler Shough RB Bijan Robinson RB Jahmyr Gibbs TE Juwan Johnson WR Chris Olave WR Ladd McConkey WR Jalen Coker,,Ashton Jeanty,RB,1.39%,34.8
97,5007076085,thechek182 (2/5),0,168.42,DST Texans  FLEX Kenneth Gainwell QB Tyler Shough RB Bijan Robinson RB Quinshon Judkins TE Harold Fannin Jr. WR Chris Olave WR DK Metcalf WR Xavier Worthy,,Greg Dulcich,TE,1.36%,6.6
99,5007622924,bporter45 (1/5),0,168.32,DST Saints  FLEX Dalton Schultz QB Tyler Shough RB Bijan Robinson RB Javonte Williams TE Harold Fannin Jr. WR Chris Olave WR Jameson Williams WR Adonai Mitchell,,Emeka Egbuka,WR,1.33%,5
99,5007212250,AntiGamblePhobia (2/3),0,168.31999,DST Buccaneers  FLEX Quentin Johnston QB Tyler Shough RB James Cook III RB Michael Carter TE Juwan Johnson WR Ja'Marr Chase WR Chris Olave WR Adonai Mitchell,,Chiefs ,DST,1.33%,2
101,5006876888,AshyL4rry (2/5),0,167.92,DST Saints  FLEX Dalton Schultz QB Tyler Shough RB Jahmyr Gibbs RB Ashton Jeanty TE Harold Fannin Jr. WR Ja'Marr Chase WR DK Metcalf WR Xavier Worthy,,Chimere Dike,WR,1.30%,13
102,5007147308,TooEasy27 (1/5),0,167.72,DST Giants  FLEX DK Metcalf QB Tyler Shough RB Bijan Robinson RB Jahmyr Gibbs TE Harold Fannin Jr. WR Chris Olave WR Adonai Mitchell WR Hollywood Brown,,Jake Ferguson,TE,1.27%,4.9
