Team,Opp
LV,KC
KC,LV
NO,CHI
CHI,NO
MIA,CLE
CLE,MIA
NE,TEN
TEN,NE
CAR,NYJ
NYJ,CAR
PHI,MIN
MIN,PHI
NYG,DEN
DEN,NYG
IND,LAC
LAC,IND
GB,ARI
ARI,GB
WAS,DAL
DAL,WAS
